Carcinoma,Neoplasms,squamous cell Neoplasm,Liver Cirrhosis Alcoholic,Autistic Disorder,Obesity,Peripheral Neuropathy,IGA Glomerulonephritis,Stomach Neoplasms,Prostatic Neoplasms,Lymphoma,Adenoid cystic,Diabates mellitue,Rheumatoid Arthritis,Ovarian Diseases,Schizophrenia,Heart valve disease,Salivary Gland neoplasam,Brain neoplasms,Kidney Failure,prognosis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p213
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p2056
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p1555
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p2194
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p2168
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p1012
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,p10000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p2981
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p283
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p266
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p2554
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p245972
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p221472
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p186
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,p1675
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p1586
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p1301
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p11249
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p1001
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p10274
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p10956
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p11170
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p10745
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p10665
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p10666
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p10628
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p10125
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p10057
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p117289
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p122618
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p1235
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p3
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p12
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,p23022
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,p196
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,p1647
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,p1616
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,p1209
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,p10
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,p10333
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,p10439
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,p10417
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,p1026
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,p10158
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,p10040
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,p10013
1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,p10232
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p1956
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,p264
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p2263
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p2778
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p3417
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p3418
1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,p3569
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,p3845
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p489
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,p1404
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p4843
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p5178
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p1656
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p156
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p151056
